LOC_ID,LATITUDE,LONGITUDE,MONTH,DAY,TIME,STATE_PROVINCE,COUNTY,COUNT_TYPE,EFFORT_HRS,EFFORT_DISTANCE_KM,EFFORT_AREA_HA,GROUP_ID,POP00_SQMI,HOUSING_DENSITY,BCR,BAILEY_ECOREGION,OMERNIK_L3_ECOREGION,CAUS_TEMP_MAX,NLCD2001_FS_C42_7500_PLAND,Agelaius_phoeniceus	
L127449,24.5463,-81.8106,4,106,17,Florida,Monroe,P22,2,4.828,0,G1023854,738.3,591.8242831,?,?,?,7,0,0	
L127449,24.5463,-81.8106,5,122,15.7,Florida,Monroe,P22,2.917,1.609,0,?,738.3,591.8242831,?,?,?,7,0,0	
L127449,24.5463,-81.8106,4,117,15.3,Florida,Monroe,P22,1.867,1.609,0,G890583,738.3,591.8242831,?,?,?,7,0,0	
L127446,24.5734,-81.7496,4,112,13.77,Florida,Monroe,P21,1,0,0,?,2170.1,806.5051003,31,-411A,76,7,0,0	
L250985,24.57314,-81.74051,4,117,7,Florida,Monroe,P22,0.333,8.047,0,G933000,8086.3,3177.282066,31,-411A,76,7,0,0	
L2582643,24.5708162,-81.747669,1,21,7.5,Florida,Monroe,P22,4,8.047,0,?,?,?,31,-411A,76,6,0,0	
L3000442,24.566032,-81.673181,7,207,12.12,Florida,Monroe,P21,0.75,0,0,?,124.5,56.47481467,31,-411A,76,7,0,0	
L1018735,24.5330692,-82.0074463,2,45,16.62,Florida,Monroe,P22,0.733,48.279,0,G808969,?,?,?,-411A,76,?,0,1	
L127452,24.6276,-82.8728,4,113,10.67,Florida,Monroe,P22,9,4.828,0,G883369,?,?,?,-411A,76,7,0,0	
L473101,24.5558671,-81.7915821,4,104,15,Florida,Monroe,P22,2,1.609,0,?,9061.9,5227.117097,31,-411A,76,7,0,0	
L127452,24.6276,-82.8728,4,119,6.5,Florida,Monroe,P22,7.75,4.023,0,G883379,?,?,?,-411A,76,7,0,0	
L2797965,24.55517,-81.805407,4,112,11.5,Florida,Monroe,P22,0.083,0.161,0,?,2088.7,2518.708813,31,-411A,76,7,0,0	
L2819124,24.5492507,-81.8113741,5,122,14.75,Florida,Monroe,P21,1.5,0,0,?,738.3,591.8242831,?,?,?,7,0,0	
L389396,24.5489969,-81.7841363,1,1,13.17,Florida,Monroe,P22,0.4,0.322,0,?,7081,3231.89027,?,-411A,76,6,0,0	
